"country","Area Agricola (1000ha)","Area com plantio (PC)","Nutrient nitrogen N (total) por area de plantio","Prod. wood fuel","PIB plantio PC"
"Afghanistan",38010,0.2155,5.82,1890051,87.19
"Albania",1174.081,0.2414,35.59,770399,106.41
"Algeria",41358.847,0.2017,8.24,8686297,108.85
"Angola",56952.49,0.1693,4.21,4773161,95.28
"Argentina",108381.7597,0.7597,34.44,4078796,89.77
"Armenia",1677.3,0.171,178.53,1546000,72.8
"Australia",358895,1.2574,45.08,4090897,99.65
"Austria",2652.83,0.1568,81.16,5243220,96.52
"Azerbaijan",4779.5,0.2365,50.55,422000,121.7
"Bahamas",14,0.0311,165.76,33818,100.14
"Bahrain",8.6,0.0029,386.69,7253,87.82
"Bangladesh",9602.3,0.0558,147.8,25754580,104.15
"Barbados",10,0.0279,28.77,4742,114.14
"Belarus",8453,0.616,69.53,12356300,91.55
"Belgium",1354,0.0761,200,892750,85.29
"Belize",172,0.3185,87.74,126000,90.07
"Benin",3950,0.296,14.14,6599832,107.29
"Bhutan",513,0.1326,15.08,5235991,85.86
"Bolivia (Plurinational State of)",37727,0.4164,3.9,2479015,103.18
"Bosnia and Herzegovina",2211,0.3397,61.52,1555000,132.16
"Botswana",25861.6,0.1161,48.34,699385,126.97
"Brazil",236878.801,0.3032,72.33,123449000,107.1
"Brunei Darussalam",13.4,0.0233,24.3,11643,95.73
"Bulgaria",5030,0.5149,93.45,2849214,110.98
"Burkina Faso",12143,0.311,9.22,14192725,98.82
"Burundi",2033,0.1387,8.68,5999000,112.96
"Cambodia",5691,0.2579,30.5,7368039,110.41
"Cameroon",9750,0.3073,6,10571241,92.24
"Canada",58202,1.0482,71.26,1173756,103.39
"Central African Republic",5080,0.4029,0.05,2e+06,103.63
"Chile",15695,0.0897,122.34,16121789,107.83
"China",528509.7,0.093,208.48,163006791,102.77
"China, mainland",527714,0.0945,208.64,162918654,102.75
"China, Taiwan Province of",790.7,0.0333,181.75,5831,105.47
"Colombia",49492,0.1992,49.57,6090000,94.62
"Congo",10628,0.1197,0.52,1507779,95.3
"Costa Rica",1782.5,0.1165,165.17,3272135,101
"Croatia",1484,0.2108,113.49,2175341,102.71
"Cuba",6300,0.3141,11.24,1141000,91.88
"Cyprus",131.8867,0.1096,59.66,8840,84.4
"Czechia",3523,0.2375,138.88,4246000,87.32
"Democratic People's Republic of Korea",2593,0.0995,70.36,6235773,89.74
"Democratic Republic of the Congo",33544,0.1825,0.63,85624900,98
"Denmark",2632.5,0.4207,92.56,2061100,74.66
"Dominica",25,0.3211,2.18,7417,97.82
"Dominican Republic",2429,0.1159,72.76,967947,113.64
"Ecuador",5448,0.1378,93.43,5037375,88.88
"Egypt",3863,0.0392,322.37,17830162,90.59
"El Salvador",1195.7,0.1372,61.61,4133693,102.62
"Eritrea",7592,0.2004,6.72,1000536,97
"Estonia",985,0.5216,56.33,4755909,70.76
"Ethiopia",37903,0.1639,23.47,111875013,97.73
"Fiji",313.5,0.159,21.38,37000,103
"Finland",2272,0.4069,61.59,7758731,79.72
"France",28660.1,0.2944,114.21,24148187,96.19
"French Polynesia",47.5,0.099,8.61,4644,99.89
"Gabon",2212.64,0.2336,12.55,1070000,95.17
"Gambia",605,0.1952,4.51,765911,43.13
"Georgia",2374.2,0.1085,34.29,385554,103.82
"Germany",16645,0.1435,112.51,22358980,80.94
"Ghana",12607.14,0.1755,12.48,47638911,105.72
"Greece",5943.6904,0.3066,55.61,998081,101.32
"Guatemala",3856,0.1186,84.52,20906541,92.71
"Guinea",14500,0.3061,1.86,12340396,106.8
"Guyana",1251.25,0.6033,42.16,823935,103.92
"Honduras",3511,0.1665,76.91,8235200,115.94
"Hungary",5296,0.4633,94.35,2817977,99.71
"Iceland",1872,0.3594,97.05,2000,77.91
"India",179115.564,0.1248,104.45,303339168,107.19
"Indonesia",62300,0.1917,63.1,42278669,109.34
