"country","y","x1","x2","x3","x4","x21","x5","x6","x7","x8","x9","x10","x11","x12","x13","x14","x15","x16","x17","x18","x19","x20"
"Albania",3.285,1.732,1.046,1.225,0.806,79.1838,14.69561958,11.09698316,13302.70596,0.997,0.72,10.66997519,6.151076317,12.33344,13.17898,0.164,15,15.58,94.97563834,0.748,7.196029777,12.85
"Algeria",6.631,4.148,2.252,1.137,0.745,76.0656,14.57779338,8.004686727,11344.17458,0.876,0.595,20.13422819,13.3869133,33.68956,11.36364,0.439,112,12.654,45.41047745,0.684,8.187919463,11.5
"Angola",2.406,0.728,1.229,0.563,0.595,62.1438,12.1721,5.417390823,6381.521946,0.903,0.41,31.09243697,30.45383072,34.17144,28.87733,0.537,241,142.575,28.1639,0.585,1.680672269,2.28
"Argentina",8.446,4.066,2.873,1.186,0.85,76.9994,17.65617943,11.10470009,21924.73119,1,0.732,13.88235294,7.813666344,5.95181,26.405909,0.315,39,51.029,70.39137175,0.758,10.82352941,16.88
"Armenia",3.328,2.054,0.828,1.289,0.771,75.0645,13.06861019,11.23515987,12933.83405,0.987,0.697,9.597924773,7.815752029,2.93495,17.43837,0.26,26,19.533,96.09171295,0.738,4.280155642,6.01
"Australia",24.716,16.665,5.661,1.309,0.941,83.3871,20.5092392,12.55362034,47487.64407,0.976,0.865,8.076514346,3.426970959,3.056569899,17.126,0.092,6,9.983,93.47260284,0.618,34.32518597,47.7
"Austria",8.533,7.529,0.796,1.067,0.917,81.6862,16.06674957,12.20790482,54587.74445,0.966,0.856,6.652126499,3.131075382,2.91745,13.39422,0.061,5,5.855,100,0.759,17.23009815,25.39
"Azerbaijan",5.091,3.406,1.401,1.068,0.757,72.7601,13.30998039,10.54176044,13502.96367,0.952,0.693,8.454425363,12.81883812,3.56506161,8.859,0.307,26,45.088,93.61727905,0.699,7.661822985,10.57
"Bangladesh",1.271,0.504,0.562,0.593,0.635,72.5675,12.03569031,6.385879993,4642.820099,0.89,0.488,23.1496063,17.0665226,35.55633,15.24444,0.533,173,78.359,39.8609314,0.624,1.732283465,2.84
"Belarus",9.098,6.404,1.759,1.722,0.818,74.5676,15.40478992,12.04824839,18282.24546,1.008,0.768,6.112469438,3.710684538,3.67781,10.83848169,0.105,2,11.596,96.60406952,0.754,7.82396088,6.75
"Belgium",9.526,8.724,0.715,1.598,0.933,81.4787,19.5610199,12.30630493,51249.2268,0.974,0.861,7.717041801,3.767567396,8.18013,11.00229,0.053,5,5.717,85.96636581,0.724,22.40085745,34.48
"Benin",1.264,0.623,0.322,1.225,0.53,60.1403,11.6906147,4.157598728,3128.748762,0.851,0.334,36.98113208,34.6303215,43.69355,31.97436,0.613,397,95.481,19.82618234,0.519,2.075471698,3.47
"Bosnia and Herzegovina",8.161,6.492,1.088,1.774,0.776,77.0926,13.78761333,9.812379837,14303.17629,0.922,0.673,13.27319588,4.211072445,14.78890508,20.16037,0.162,10,10.493,73.99214935,0.686,11.59793814,14.43
"Brazil",4.98,2.27,2.029,1.152,0.764,75.1095,15.70306015,7.982019901,14258.48421,0.99,0.582,23.82198953,9.894664764,16.06656,41.636454,0.401,60,53.436,61.55126953,0.686,10.20942408,18.28
"Bulgaria",7.479,6.128,0.978,1.646,0.809,74.8983,14.19587994,11.29952653,21585.23735,0.992,0.716,11.49567367,5.54673624,6.09875,21.61938,0.21,10,39.209,94.58728536,0.717,11.37206428,14.69
"Burkina Faso",1.528,0.243,0.757,0.61,0.449,60.0466,9.273730278,1.91952002,2050.921164,0.884,0.312,30.51224944,33.42119217,39.15279412,17.31173505,0.598,320,115.166,9.934089661,0.442,1.559020045,2.96
"Burundi",0.424,0.059,0.14,0.457,0.428,61.6884,10.77536964,2.962684561,763.4331718,0.933,0.3,29.90654206,27.74938011,39.48821,20.92933,0.508,548,56.272,7.438916313,0.424,0.934579439,1.68
"Cambodia",2.417,0.898,1.232,0.987,0.591,70.5609,11.33676945,4.966,3864.496775,0.921,0.475,19.62774958,16.6733799,27.30485,14.34211,0.466,160,47.823,17.24,0.573,3.045685279,5.23
"Cameroon",3.586,0.384,0.622,0.619,0.577,61.1798,12.76488609,6.095438148,3642.735667,0.882,0.39,32.40901213,30.62975883,31.71699,34.98911,0.572,529,116.168,35.87829456,0.57,1.213171577,2.06
"Canada",19.927,15.779,2.789,2.446,0.933,82.0508,16.22464943,13.80017348,48156,0.987,0.856,8.252947481,4.490463734,2.521,17.077,0.073,10,7.094,100,0.671,28.08145766,35.84
